jester: 27 classes
storing name: TSM_jester_RGB_resnet50_avg_segment8_e50_lr5e-03_npb_gp22

    Initializing TSN with base model: resnet50.
    TSN Configurations:
        input_modality:     RGB
        num_segments:       8
        new_length:         1
        consensus_module:   avg
        dropout_ratio:      0.5
        img_feature_dim:    256
            
=> base model: resnet50
#################### NO FLIP!!!
video clips:118562
video clips:14787
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
Epoch: [0][0/2470], lr: 0.00500	Time 14.434 (14.434)	Data 3.725 (3.725)	Loss 3.2959 (3.2959)	Prec@1 6.250 (6.250)	Prec@5 20.833 (20.833)
Epoch: [0][20/2470], lr: 0.00500	Time 0.617 (1.202)	Data 0.000 (0.178)	Loss 4.0747 (3.7544)	Prec@1 2.083 (4.266)	Prec@5 27.083 (22.222)
Epoch: [0][40/2470], lr: 0.00500	Time 0.530 (0.877)	Data 0.000 (0.091)	Loss 3.4360 (3.7675)	Prec@1 12.500 (4.776)	Prec@5 27.083 (24.085)
Epoch: [0][60/2470], lr: 0.00500	Time 0.529 (0.765)	Data 0.000 (0.061)	Loss 3.1523 (3.6733)	Prec@1 25.000 (6.694)	Prec@5 50.000 (27.186)
Epoch: [0][80/2470], lr: 0.00500	Time 0.555 (0.709)	Data 0.000 (0.046)	Loss 3.0412 (3.5222)	Prec@1 16.667 (9.234)	Prec@5 52.083 (31.764)
Epoch: [0][100/2470], lr: 0.00500	Time 0.530 (0.674)	Data 0.000 (0.037)	Loss 2.5246 (3.3587)	Prec@1 25.000 (12.397)	Prec@5 66.667 (37.108)
Epoch: [0][120/2470], lr: 0.00500	Time 0.509 (0.651)	Data 0.000 (0.031)	Loss 2.5054 (3.2215)	Prec@1 22.917 (14.773)	Prec@5 60.417 (41.374)
Epoch: [0][140/2470], lr: 0.00500	Time 0.535 (0.635)	Data 0.000 (0.027)	Loss 2.4895 (3.1121)	Prec@1 27.083 (16.947)	Prec@5 56.250 (44.770)
Epoch: [0][160/2470], lr: 0.00500	Time 0.532 (0.622)	Data 0.000 (0.023)	Loss 1.8953 (3.0245)	Prec@1 45.833 (18.621)	Prec@5 79.167 (47.528)
Epoch: [0][180/2470], lr: 0.00500	Time 0.533 (0.613)	Data 0.000 (0.021)	Loss 2.4987 (2.9417)	Prec@1 29.167 (20.189)	Prec@5 60.417 (50.023)
Epoch: [0][200/2470], lr: 0.00500	Time 0.549 (0.605)	Data 0.000 (0.019)	Loss 2.2030 (2.8671)	Prec@1 33.333 (21.403)	Prec@5 75.000 (52.311)
Epoch: [0][220/2470], lr: 0.00500	Time 0.565 (0.599)	Data 0.000 (0.017)	Loss 2.1993 (2.8014)	Prec@1 35.417 (22.662)	Prec@5 68.750 (54.186)
Epoch: [0][240/2470], lr: 0.00500	Time 0.551 (0.593)	Data 0.000 (0.016)	Loss 2.3760 (2.7456)	Prec@1 25.000 (23.634)	Prec@5 66.667 (55.775)
Epoch: [0][260/2470], lr: 0.00500	Time 0.532 (0.589)	Data 0.000 (0.014)	Loss 1.8377 (2.6906)	Prec@1 47.917 (24.840)	Prec@5 72.917 (57.176)
Epoch: [0][280/2470], lr: 0.00500	Time 0.531 (0.586)	Data 0.000 (0.013)	Loss 2.0887 (2.6356)	Prec@1 33.333 (25.942)	Prec@5 77.083 (58.734)
Epoch: [0][300/2470], lr: 0.00500	Time 0.533 (0.582)	Data 0.000 (0.013)	Loss 2.0555 (2.5898)	Prec@1 39.583 (26.862)	Prec@5 70.833 (59.925)
Epoch: [0][320/2470], lr: 0.00500	Time 0.531 (0.580)	Data 0.000 (0.012)	Loss 2.0079 (2.5528)	Prec@1 33.333 (27.680)	Prec@5 81.250 (61.033)
Epoch: [0][340/2470], lr: 0.00500	Time 0.530 (0.577)	Data 0.000 (0.011)	Loss 1.8921 (2.5167)	Prec@1 31.250 (28.379)	Prec@5 81.250 (62.078)
Epoch: [0][360/2470], lr: 0.00500	Time 0.532 (0.575)	Data 0.000 (0.010)	Loss 1.8597 (2.4801)	Prec@1 41.667 (29.155)	Prec@5 83.333 (63.048)
Epoch: [0][380/2470], lr: 0.00500	Time 0.533 (0.573)	Data 0.000 (0.010)	Loss 2.3268 (2.4501)	Prec@1 31.250 (29.812)	Prec@5 77.083 (63.856)
Epoch: [0][400/2470], lr: 0.00500	Time 0.533 (0.571)	Data 0.000 (0.009)	Loss 2.1337 (2.4207)	Prec@1 25.000 (30.414)	Prec@5 68.750 (64.630)
Epoch: [0][420/2470], lr: 0.00500	Time 0.535 (0.569)	Data 0.000 (0.009)	Loss 1.7825 (2.3934)	Prec@1 50.000 (30.953)	Prec@5 83.333 (65.380)
